Membership No  Date Joined  Active  
    75274      2015-1-22    no    
    87008      2015-1-2     yes   
    91827      2016-1-16    yes   
    70728      2020-6-21    yes   
    20689      2016-3-11    no    
    48141      2020-4-14    no    
    41054      2020-2-13    yes   
    86926      2015-3-6     no    
    21784      2017-1-24    yes   
    83579      2020-3-17    yes   
    93541      2018-12-4    no    
    60774      2017-9-5     yes   
    38560      2019-4-5     no    
    15450      2020-9-7     yes   
    87796      2017-4-13    yes   
    62252      2017-5-9     yes   
    24084      2019-12-10   yes   
    43025      2017-5-18    no    
    28210      2017-5-11    no    
    48905      2016-5-11    yes   
